RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           63     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   83     0     0  con    0  1.0D+00  2.1D+01  2.591D-02  1.525D+02
   73   84     0     0  con    0  1.0D+00  6.1D+00  4.631D-02  1.525D+02
   74   85     0     0  con    0  1.0D+00  1.2D+01  1.171D-01  1.525D+02
   75   86     0     0  con    0  1.0D+00  1.5D+01  1.747D-01  1.525D+02
   76   87     0     0  con    0  1.0D+00  1.6D+01  2.834D-01  1.525D+02
   77   88     0     0  con    0  1.0D+00  1.6D+01  3.367D-01  1.525D+02
   78   89     0     0  con    0  1.0D+00  6.5D+01  2.771D-01  1.525D+02
   79   91     0     0  con    1  8.4D-02  1.5D+01  6.576D-01  1.525D+02
   80   92     0     0  con    0  1.0D+00  5.4D+01  4.792D-01  1.525D+02
   81   93     0     0  con    0  1.0D+00  3.6D+01  4.430D-01  1.525D+02
   82   95     0     0  con    1  0.0D+00  0.0D+00  4.430D-01  1.525D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          147     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.223D+01  3.577D+02
    1    2     1     0  ---    0  2.3D-02  1.0D+00  1.035D+01  3.268D+02
    2    3     0     0  con    0  1.0D+00  1.5D+00  1.258D+01  3.023D+02
    3    4     0     0  con    0  1.0D+00  2.0D+00  9.438D+00  2.774D+02
    4    5     0     0  con    0  1.0D+00  5.4D+00  1.774D+01  2.545D+02
    5    6     0     0  con    0  1.0D+00  1.8D+00  8.996D+00  2.434D+02
    6    7     0     0  con    0  1.0D+00  9.8D-01  4.654D+00  2.391D+02
    7    8     0     0  con    0  1.0D+00  4.0D+00  6.512D+00  2.325D+02
    8    9     0     0  con    0  1.0D+00  5.2D-01  1.474D+00  2.316D+02
    9   10     0     0  con    0  1.0D+00  7.8D-01  6.616D-01  2.312D+02
   10   11     0     0  con    0  1.0D+00  2.1D+00  1.725D+00  2.305D+02
   11   12     0     0  con    0  1.0D+00  1.5D+00  1.509D+00  2.302D+02
   12   13     0     0  con    0  1.0D+00  2.9D+00  1.974D+00  2.297D+02
   13   14     0     0  con    0  1.0D+00  3.2D+00  2.459D+00  2.294D+02
   14   15     0     0  con    0  1.0D+00  1.7D+00  3.490D-01  2.292D+02
   15   16     0     0  con    0  1.0D+00  1.2D+00  7.331D-01  2.291D+02
   16   17     0     0  con    0  1.0D+00  1.9D+00  6.713D-01  2.290D+02
   17   18     0     0  con    0  1.0D+00  2.8D+00  9.277D-01  2.290D+02
   18   19     0     0  con    0  1.0D+00  2.8D+00  2.997D-01  2.289D+02
   19   20     0     0  con    0  1.0D+00  3.3D+00  8.380D-01  2.288D+02
   20   21     0     0  con    0  1.0D+00  5.2D-01  3.218D-01  2.288D+02
   21   22     0     0  con    0  1.0D+00  1.3D+00  9.818D-02  2.288D+02
   22   23     0     0  con    0  1.0D+00  1.1D+00  7.624D-02  2.288D+02
   23   24     0     0  con    0  1.0D+00  1.8D+00  1.312D-01  2.288D+02
   24   25     0     0  con    0  1.0D+00  1.6D+00  1.912D-01  2.288D+02
   25   26     0     0  con    0  1.0D+00  2.6D+00  2.304D-01  2.288D+02
   26   27     0     0  con    0  1.0D+00  3.7D+00  1.204D-01  2.288D+02
   27   28     0     0  con    0  1.0D+00  3.3D+00  5.877D-01  2.288D+02
   28   30     0     0  con    1  5.0D-01  4.6D-01  2.965D-02  2.288D+02
   29   31     0     0  con    0  1.0D+00  2.2D+00  1.241D-01  2.288D+02
   30   32     0     0  con    0  1.0D+00  6.4D+00  7.381D-01  2.288D+02
   31   33     0     0  con    0  1.0D+00  1.2D-01  2.285D-01  2.288D+02
   32   37     0     0  con    3  3.0D+00  1.9D+01  2.344D+00  2.287D+02
   33   39     0     0  con    1  6.2D-02  3.0D+00  2.947D+00  2.287D+02
   34   40     0     0  con    0  1.0D+00  1.4D+01  5.136D+00  2.285D+02
   35   42     0     0  con    1  1.5D-01  9.5D+00  6.872D+00  2.284D+02
   36   43     0     0  con    0  1.0D+00  2.1D+01  9.854D+00  2.279D+02
   37   44     0     0  con    0  1.0D+00  2.0D+01  8.777D+00  2.265D+02
   38   45     0     0  con    0  1.0D+00  2.0D+01  5.601D-01  2.240D+02
   39   46     0     0  con    0  1.0D+00  4.2D+01  5.855D+00  2.233D+02
   40   47     0     0  con    0  1.0D+00  3.7D+00  1.212D+00  2.229D+02
   41   48     0     0  con    0  1.0D+00  1.1D+01  1.802D-01  2.227D+02
   42   49     0     0  con    0  1.0D+00  1.2D+01  2.170D-01  2.227D+02
   43   50     0     0  con    0  1.0D+00  1.1D+02  7.312D+00  2.220D+02
   44   51     0     0  con    0  1.0D+00  3.0D+01  5.836D-01  2.214D+02
   45   52     0     0  con    0  1.0D+00  2.0D+01  6.588D-02  2.212D+02
   46   53     0     0  con    0  1.0D+00  2.7D+01  9.331D-01  2.211D+02
   47   54     0     0  con    0  1.0D+00  4.0D+01  1.313D+00  2.209D+02
   48   55     0     0  con    0  1.0D+00  2.5D+01  2.637D-01  2.207D+02
   49   56     0     0  con    0  1.0D+00  3.3D+01  3.944D-02  2.206D+02
   50   57     0     0  con    0  1.0D+00  2.1D+01  2.476D-01  2.206D+02
   51   58     0     0  con    0  1.0D+00  1.8D+01  2.267D-01  2.205D+02
   52   61     0     0  con    2  1.4D-01  6.3D+01  2.883D-01  2.205D+02
   53   62     0     0  con    0  1.0D+00  1.1D+01  7.768D-01  2.204D+02
   54   63     0     0  con    0  1.0D+00  3.1D+01  3.213D-01  2.203D+02
   55   64     0     0  con    0  1.0D+00  2.4D+01  1.535D-01  2.203D+02
   56   66     0     0  con    1  2.6D-01  2.7D+01  5.598D-01  2.202D+02
   57   67     0     0  con    0  1.0D+00  1.1D+01  1.328D+00  2.202D+02
   58   68     0     0  con    0  1.0D+00  1.1D+01  2.116D-01  2.201D+02
   59   69     0     0  con    0  1.0D+00  2.6D+01  1.813D-01  2.200D+02
   60   70     0     0  con    0  1.0D+00  1.4D+01  6.495D-01  2.197D+02
   61   71     0     0  con    0  1.0D+00  3.1D+01  8.901D-01  2.197D+02
   62   72     0     0  con    0  1.0D+00  8.4D+00  4.642D-02  2.196D+02
   63   73     0     0  con    0  1.0D+00  5.7D+00  1.365D-01  2.196D+02
   64   74     0     0  con    0  1.0D+00  9.5D+00  1.793D-01  2.196D+02
   65   75     0     0  con    0  1.0D+00  1.2D+01  6.903D-02  2.196D+02
   66   76     0     0  con    0  1.0D+00  2.7D+01  3.039D-01  2.195D+02
   67   77     0     0  con    0  1.0D+00  2.4D+01  5.772D-01  2.195D+02
   68   78     0     0  con    0  1.0D+00  2.0D+01  4.597D-01  2.194D+02
