RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          147     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   79     0     0  con    0  1.0D+00  1.1D+01  6.239D-01  2.195D+02
   73   80     0     0  con    0  1.0D+00  1.0D+01  3.049D-01  2.194D+02
   74   81     0     0  con    0  1.0D+00  1.2D+01  9.004D-02  2.194D+02
   75   82     0     0  con    0  1.0D+00  1.3D+01  1.892D-01  2.194D+02
   76   83     0     0  con    0  1.0D+00  8.3D+00  3.551D-01  2.194D+02
   77   84     0     0  con    0  1.0D+00  6.3D+00  5.358D-01  2.194D+02
   78   85     0     0  con    0  1.0D+00  3.8D+00  6.227D-01  2.193D+02
   79   87     0     0  con    1  9.2D-02  3.8D+00  3.450D-01  2.193D+02
   80   88     0     0  con    0  1.0D+00  2.1D+01  3.912D-01  2.193D+02
   81   90     0     0  con    1  1.8D-02  3.8D+00  1.439D-01  2.193D+02
   82   91     0     0  con    0  1.0D+00  3.5D+01  9.843D-02  2.193D+02
   83   92     0     0  con    0  1.0D+00  1.8D+01  2.576D-01  2.192D+02
   84   93     0     0  con    0  1.0D+00  2.5D+00  1.244D-01  2.192D+02
   85   94     0     0  con    0  1.0D+00  1.9D+00  1.938D-02  2.192D+02
   86   95     0     0  con    0  1.0D+00  6.7D-01  1.189D-01  2.192D+02
   87   96     0     0  con    0  1.0D+00  2.5D+00  3.612D-01  2.192D+02
   88   97     0     0  con    0  1.0D+00  1.6D+00  5.959D-01  2.192D+02
   89   98     0     0  con    0  1.0D+00  1.8D+00  6.851D-01  2.192D+02
   90   99     0     0  con    0  1.0D+00  7.2D+00  5.422D-02  2.192D+02
   91  100     0     0  con    0  1.0D+00  5.6D+00  1.597D-01  2.191D+02
   92  102     0     0  con    1  1.0D-01  3.3D+00  2.745D-01  2.191D+02
   93  103     0     0  con    0  1.0D+00  9.0D-01  8.989D-02  2.191D+02
   94  104     0     0  con    0  1.0D+00  5.2D-01  4.433D-02  2.191D+02
   95  105     0     0  con    0  1.0D+00  2.2D-01  9.929D-02  2.191D+02
   96  106     0     0  con    0  1.0D+00  4.1D-01  2.036D-01  2.191D+02
   97  107     0     0  con    0  1.0D+00  1.1D+00  2.845D-01  2.191D+02
   98  108     0     0  con    0  1.0D+00  2.7D+00  2.766D-01  2.191D+02
   99  110     0     0  con    1  3.8D-02  7.9D+00  5.168D-01  2.191D+02
  100  111     0     0  con    0  1.0D+00  3.2D+00  2.893D-01  2.191D+02
  101  112     0     0  con    0  1.0D+00  2.0D+00  2.972D-02  2.191D+02
  102  113     0     0  con    0  1.0D+00  5.2D+00  7.312D-02  2.191D+02
  103  114     0     0  con    0  1.0D+00  4.9D+00  1.015D-01  2.191D+02
  104  116     0     0  con    1  1.9D-01  3.6D-01  1.425D-02  2.191D+02
  105  117     0     0  con    0  1.0D+00  1.4D+00  2.179D-02  2.191D+02
  106  118     0     0  con    0  1.0D+00  3.7D+00  1.556D-01  2.191D+02
  107  119     0     0  con    0  1.0D+00  3.1D+00  2.529D-01  2.191D+02
  108  120     0     0  con    0  1.0D+00  8.4D+00  4.217D-01  2.191D+02
  109  121     0     0  con    0  1.0D+00  1.5D+01  5.452D-01  2.191D+02
  110  122     0     0  con    0  1.0D+00  2.5D+01  4.837D-01  2.190D+02
  111  123     0     0  con    0  1.0D+00  2.1D+01  4.749D-01  2.190D+02
  112  125     0     0  con    1  6.3D-04  1.7D+00  3.005D-01  2.190D+02
  113  126     0     0  con    0  1.0D+00  3.4D+00  1.485D-01  2.190D+02
  114  127     0     0  con    0  1.0D+00  9.2D+00  6.918D-02  2.190D+02
  115  129     0     0  con    1  4.5D-01  2.8D+00  8.672D-02  2.190D+02
  116  130     0     0  con    0  1.0D+00  8.4D+00  8.416D-02  2.190D+02
  117  132     0     0  con    1  5.4D-02  2.3D+01  2.206D-01  2.190D+02
  118  133     0     0  con    0  1.0D+00  1.1D+01  8.610D-02  2.190D+02
  119  134     0     0  con    0  1.0D+00  2.0D+00  8.584D-02  2.190D+02
  120  136     0     0  con    1  0.0D+00  0.0D+00  8.584D-02  2.190D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

