Cycle : 1 	Error=  92236.6 	Scale=  1 
Cycle : 98 	Error=  -9125.781 	Scale=  0.001099512 
Cycle : 99 	Error=  -9125.781 	Scale=  0.004398047 
Cycle : 100 	Error=  -9125.781 	Scale=  0.01759219 
Cycle : 101 	Error=  -9125.781 	Scale=  0.07036874 
Cycle : 102 	Error=  -9125.781 	Scale=  0.281475 
Cycle : 103 	Error=  -9125.781 	Scale=  1.1259 
Cycle : 104 	Error=  -9125.781 	Scale=  4.5036 
Cycle : 105 	Error=  -9125.781 	Scale=  18.0144 
Cycle : 106 	Error=  -9125.781 	Scale=  72.0576 
Cycle : 107 	Error=  -9333.305 	Scale=  288.2304 
Cycle : 108 	Error=  -9338.226 	Scale=  144.1152 
Cycle : 109 	Error=  -9341.018 	Scale=  72.0576 
Cycle : 110 	Error=  -9341.165 	Scale=  36.0288 
Cycle : 111 	Error=  -9341.247 	Scale=  18.0144 
Cycle : 112 	Error=  -9341.257 	Scale=  9.0072 
Cycle : 113 	Error=  -9341.299 	Scale=  4.5036 
Cycle : 114 	Error=  -9341.308 	Scale=  2.2518 
Cycle : 115 	Error=  -9341.343 	Scale=  1.1259 
Cycle : 116 	Error=  -9341.351 	Scale=  0.56295 
Cycle : 117 	Error=  -9341.384 	Scale=  0.281475 
Cycle : 118 	Error=  -9341.391 	Scale=  0.1407375 
Cycle : 119 	Error=  -9341.423 	Scale=  0.07036874 
Cycle : 120 	Error=  -9341.43 	Scale=  0.03518437 
Cycle : 121 	Error=  -9341.461 	Scale=  0.01759219 
Cycle : 122 	Error=  -9341.47 	Scale=  0.008796093 
Cycle : 123 	Error=  -9341.502 	Scale=  0.004398047 
Cycle : 124 	Error=  -9341.51 	Scale=  0.002199023 
Cycle : 125 	Error=  -9341.545 	Scale=  0.001099512 
Cycle : 126 	Error=  -9341.554 	Scale=  0.0005497558 
Cycle : 127 	Error=  -9341.593 	Scale=  0.0002748779 
Cycle : 128 	Error=  -9341.603 	Scale=  0.0001374390 
Cycle : 129 	Error=  -9341.647 	Scale=  6.871948e-05 
Cycle : 130 	Error=  -9341.66 	Scale=  3.435974e-05 
Cycle : 131 	Error=  -9341.711 	Scale=  1.717987e-05 
Cycle : 132 	Error=  -9341.725 	Scale=  8.589935e-06 
Cycle : 133 	Error=  -9341.786 	Scale=  4.294967e-06 
Cycle : 134 	Error=  -9341.803 	Scale=  2.147484e-06 
Cycle : 135 	Error=  -9341.877 	Scale=  1.073742e-06 
Cycle : 136 	Error=  -9341.898 	Scale=  5.368709e-07 
Cycle : 137 	Error=  -9341.988 	Scale=  2.684355e-07 
Cycle : 138 	Error=  -9342.013 	Scale=  1.342177e-07 
Cycle : 139 	Error=  -9342.123 	Scale=  6.710886e-08 
Cycle : 140 	Error=  -9342.155 	Scale=  3.355443e-08 
Cycle : 141 	Error=  -9342.29 	Scale=  1.677722e-08 
Cycle : 142 	Error=  -9342.33 	Scale=  8.388608e-09 
Cycle : 143 	Error=  -9342.498 	Scale=  4.194304e-09 
Cycle : 144 	Error=  -9342.547 	Scale=  2.097152e-09 
Cycle : 145 	Error=  -9342.754 	Scale=  1.048576e-09 
Cycle : 146 	Error=  -9342.816 	Scale=  5.24288e-10 
